SVID	,	SVNAME	,	NAME_LENGTH	,	UNIT	,	MIN_VALUE	,	MAX_VALUE	,	APPROPRIATE_MIN_VALUE	,	APPROPRIATE_VALUE	,	APPROPRIATE_MAX_VALUE	,	DESCRIPTION	,	REMARKS
10000	,	UTIL_CELL_ID	,	12	,	 	,	N/A	,	N/A	,	N/A	,	N/A	,	N/A	,	UTIL_CELL_ID	,	년월일시분초 상시보고
10001	,	UTIL_STEP_ID	,	12	,	 	,	0	,	2	,	N/A	,	N/A	,	N/A	,	UTIL_STEP_ID	,	AUTO : 2 / STOP : 0
10002	,	USE_IN_ROBOT_MCR	,	16	,	 	,	0	,	1	,	N/A	,	N/A	,	N/A	,	USE_IN_ROBOT_MCR	,	IN_ROBOT MCR 사용 여부 (0: Not Use 1: Use)
10003	,	USE_INSP_STAGE_MAIN_VISION	,	26	,	 	,	0	,	1	,	N/A	,	N/A	,	N/A	,	USE_INSP_STAGE_MAIN_VISION	,	검사기 사용 여부 (0: Not Use 1: Use)
10004	,	RUN_EFU	,	7	,	 	,	0	,	1	,	N/A	,	N/A	,	N/A	,	RUN_EFU	,	EFU 동작 여부 (0: Not Run 1: Run)
10005	,	EFU_RPM_1	,	9	,	RPM	,	0	,	1400	,	700	,	900	,	1100	,	EFU_RPM_1	,	설비 상부에 장착되는 EFU#1의 회전속도값
10006	,	MAIN_ELECTRICAL_TEMP	,	20	,	℃	,	0	,	100	,	20	,	28	,	40	,	MAIN_ELECTRICAL_TEMP	,	MAIN 전장반 온도
10007	,	MAIN_PCRACK_TEMP	,	16	,	℃	,	0	,	100	,	20	,	28	,	40	,	MAIN_PCRACK_TEMP	,	PC 랙 온도
10008	,	USE_IN_SHUTTLE_PRE_ALIGN	,	24	,	 	,	0	,	1	,	N/A	,	N/A	,	N/A	,	USE_IN_SHUTTLE_PRE_ALIGN	,	In Shuttle Pre-Align 사용 여부
10009	,	IN_SHUTTLE_PRE_ALIGN_SCORE_SETTING	,	34	,	%	,	0	,	100	,	N/A	,	N/A	,	N/A	,	IN_SHUTTLE_PRE_ALIGN_SCORE_SETTING	,	In Shuttle Pre-Align Score 인터락 세팅값
10010	,	IN_SHUTTLE_P1_PRE_ALIGN_CELL_ID	,	31	,	 	,	N/A	,	N/A	,	N/A	,	N/A	,	N/A	,	IN_SHUTTLE_P1_PRE_ALIGN_CELL_ID	,	In Shuttle P1 Pre-Align Cell ID
10011	,	IN_SHUTTLE_P1_PRE_ALIGN_STEP_ID	,	31	,	 	,	0	,	2	,	N/A	,	N/A	,	N/A	,	IN_SHUTTLE_P1_PRE_ALIGN_STEP_ID	,	In Shuttle P1 Pre-Align Step ID
10012	,	IN_SHUTTLE_P1_PRE_ALIGN_DATA_SCORE	,	34	,	%	,	0	,	100	,	N/A	,	N/A	,	N/A	,	IN_SHUTTLE_P1_PRE_ALIGN_DATA_SCORE	,	In Shuttle P1 Pre-Align Data Score
