IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
0	,	BtnCellOutRetest	,	CDialogCellOutCode	,	Retest	,	Retest	,	Retest	,	Retest
1	,	BtnCellOutManualTrackout	,	CDialogCellOutCode	,	Manual Trackout	,	Manual Trackout	,	Manual Trackout	,	Manual Trackout
2	,	BtnCellOutNG	,	CDialogCellOutCode	,	NG	,	NG	,	NG	,	NG
3	,	BtnCellOutGood	,	CDialogCellOutCode	,	Good	,	Good	,	Good	,	Good
4	,	BtnCancel	,	CDialogCellOutCode	,	Cancel	,	Cancel	,	Cancel	,	Cancel
5	,	LblTitleTop	,	CDialogDoor	,	조작 금지	,	조작 금지	,	조작 금지	,	NGHIÊM CẤM
6	,	LblTitleRight1	,	CDialogDoor	,	설비 조작 금지	,	설비 조작 금지	,	설비 조작 금지	,	CẤM THAO TÁC
7	,	LblTitleRight2	,	CDialogDoor	,	내부 작업 中	,	내부 작업 中	,	내부 작업 中	,	TRONG KHI THIẾT BỊ ĐANG SỬA CHỮA
8	,	BtnTitleDoorControl	,	CDialogDoor	,	도어 제어	,	DOOR CONTROL	,	DOOR CONTROL	,	DOOR CONTROL
9	,	BtnTitleInterlockMap	,	CDialogDoor	,	인터락 맵	,	INTERLOCK MAP	,	INTERLOCK MAP	,	INTERLOCK MAP
10	,	BtnTitleFfuMap	,	CDialogDoor	,	FFU 맵	,	FFU MAP	,	FFU MAP	,	FFU MAP
11	,	UcDoorControlSlideFront	,	CDialogDoor	,	[SLIDE-TYPE] 정면	,	[SLIDE-TYPE] FRONT	,	[SLIDE-TYPE] FRONT	,	[SLIDE-TYPE] FRONT
12	,	UcDoorControlSlideRear	,	CDialogDoor	,	[SLIDE-TYPE] 후면	,	[SLIDE-TYPE] REAR	,	[SLIDE-TYPE] REAR	,	[SLIDE-TYPE] REAR
13	,	BtnDoorLock	,	CDialogDoor	,	문 잠금	,	LOCK DOOR	,	LOCK DOOR	,	LOCK DOOR
14	,	BtnDoorOpen	,	CDialogDoor	,	문 잠금 해제	,	UNLOCK DOOR	,	UNLOCK DOOR	,	UNLOCK DOOR
15	,	BtnLockAllDoors	,	CDialogDoor	,	모든 문 잠금	,	LOCK ALL DOORS	,	LOCK ALL DOORS	,	LOCK ALL DOORS
16	,	BtnUnlockAllDoors	,	CDialogDoor	,	모든 문 잠금 해제	,	UNLOCK ALL DOORS	,	UNLOCK ALL DOORS	,	UNLOCK ALL DOORS
17	,	BtnClose	,	CDialogDoor	,	닫기	,	CLOSE	,	CLOSE	,	CLOSE
18	,	m_strMessageKeyNoOwn	,	CDialogDoor	,	안전 도어가 열렸습니다	,	THE SAFETY DOOR IS UNLOCKED	,	THE SAFETY DOOR IS UNLOCKED	,	Đã mở cửa an toàn
19	,	m_strMessageInnerOperatorCheck	,	CDialogDoor	,	내부에 작업자가 있는지 확인 하십시오	,	MAKE SURE YOU HAVE AN INSIDE WORKER	,	MAKE SURE YOU HAVE AN INSIDE WORKER	,	Hãy kiểm tra xem bên trong có người lao động hay không 
20	,	m_strMessageDoorLock	,	CDialogDoor	,	안전 도어가 잠겼습니다	,	THE SAFETY DOOR IS LOCKED	,	THE SAFETY DOOR IS LOCKED	,	Đã khóa cửa an toàn 
21	,	m_strMessageDoorOpen	,	CDialogDoor	,	안전 도어가 열렸습니다	,	THE SAFETY DOOR IS UNLOCKED	,	THE SAFETY DOOR IS UNLOCKED	,	Đã mở cửa an toàn
22	,	BtnTitleCheck	,	CDialogDoor	,	점검	,	CHECK	,	CHECK	,	CHECK
23	,	BtnSubTitleCheckGroupName	,	CDialogDoor	,	점검 그룹	,	CHECK GROUP	,	CHECK GROUP	,	CHECK GROUP
24	,	BtnBuzzerOff	,	CDialogDoor	,	버저 끔	,	BUZZER OFF	,	BUZZER OFF	,	BUZZER OFF
25	,	UcUpperDoorCheck	,	CDialogDoor	,	상류 설비 도어 닫힘	,	UPPER DOOR CLOSE	,	UPPER DOOR CLOSE	,	UPPER DOOR CLOSE
26	,	UcLowerDoorCheck	,	CDialogDoor	,	하류 설비 도어 닫힘	,	LOWER DOOR CLOSE	,	LOWER DOOR CLOSE	,	LOWER DOOR CLOSE
27	,	UcEnableSwitchCheck	,	CDialogDoor	,	ENABLE SWITCH 잡힘	,	ENABLE SWITCH GRIP	,	ENABLE SWITCH GRIP	,	ENABLE SWITCH GRIP
28	,	BtnClose	,	CDialogNoOperation	,	닫기	,	CLOSE	,	CLOSE	,	CLOSE
29	,	BtnBuzzerOff	,	CDialogNoOperation	,	부저 끔	,	BUZZER OFF	,	BUZZER OFF	,	BUZZER OFF
30	,	LblKeepCoverOpenTitle	,	CDialogNoOperation	,	정상 작동	,	NORMAL OPERATION	,	NORMAL OPERATION	,	TRONG KHI VẬN HÀNH
31	,	LblKeepCoverOpenDescription1	,	CDialogNoOperation	,	덮개를 열어두세요	,	KEEP THE COVER OPEN	,	KEEP THE COVER OPEN	,	MỞ BÌNH THƯỜNG
32	,	LblKeepCoverOpenDescription2	,	CDialogNoOperation	,	조작시 덮개를 닫아주세요	,	KEEP THE COVER CLOSED DURING OPERATION	,	KEEP THE COVER CLOSED DURING OPERATION	,	ĐÓNG KHI XỬ LÝ THIẾT BỊ
33	,	LblDoNotOperateTitle	,	CDialogNoOperation	,	조작 금지	,	DO NOT OPERATE	,	DO NOT OPERATE	,	NGHIÊM CẤM
